I read your first line and your last line popped into my head before I read it . :smiling_face_with_heart-eyes: :hugging_face: It 's been a long time coming .,31,63.48,62.65,96.96,99.00,15.50,6.45,87.10,41.94,22.58,16.13,9.68,0.00,6.45,0.00,0.00,6.45,3.23,9.68,3.23,0.00,3.23,0.00,16.13,3.23,3.23,0.00,3.23,0.00,6.45,6.45,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,3.23,0.00,0.00,16.13,16.13,0.00,0.00,0.00,6.45,3.23,3.23,0.00,0.00,0.00,3.23,0.00,3.23,22.58,3.23,6.45,12.90,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.71,6.45,0.00,12.90,0.00,0.00,0.00,3.23,0.00,3.23,0.00,12.90
That solar eclipse got me gassy af ?,7,29.30,1.00,13.15,25.77,7.00,14.29,57.14,28.57,28.57,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
"@USER @USER I 'd build orphanage campus style schools . Hire the best counselors , teachers and give abandoned , abused , neglected children an opportunity to have a brighter future .",27,96.08,77.05,1.22,1.00,13.50,33.33,77.78,25.93,3.70,3.70,3.70,0.00,0.00,0.00,0.00,0.00,11.11,3.70,3.70,0.00,3.70,0.00,7.41,7.41,7.41,0.00,0.00,0.00,18.52,7.41,11.11,0.00,3.70,7.41,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,0.00,7.41,11.11,7.41,0.00,0.00,7.41,3.70,3.70,0.00,0.00,3.70,18.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.63,7.41,11.11,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,7.41
"@USER Yeah I use to go all the time . I just do n't wanna go by myself",17,59.32,3.89,91.95,25.77,8.50,0.00,88.24,52.94,17.65,17.65,17.65,0.00,0.00,0.00,0.00,0.00,5.88,11.76,11.76,5.88,0.00,0.00,23.53,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,5.88,17.65,11.76,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,0.00,0.00,17.65,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88
Waaa steady @USER,3,93.26,50.00,1.00,25.77,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
My stats in 2 games 17 tackles & 1 interception,9,93.26,50.00,58.07,25.77,9.00,22.22,33.33,22.22,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
Why 'd you only ever phone me when you 're high ?,11,1.00,99.00,99.00,25.77,11.00,0.00,81.82,63.64,27.27,27.27,9.09,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,36.36,9.09,0.00,0.00,9.09,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,0.00,9.09,0.00,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,27.27,0.00,9.09,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,18.18,0.00,0.00
nice nice \ nbut when is chapter 2 coming out with the facility depths \ ni need more game entertainment !,18,93.26,71.09,23.51,99.00,18.00,16.67,77.78,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,11.11,5.56,5.56,5.56,0.00,16.67,16.67,5.56,5.56,5.56,11.11,16.67,16.67,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,11.11,5.56,22.22,5.56,11.11,5.56,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,11.11
"@USER",1,93.26,50.00,1.00,25.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
meownnaise,1,93.26,50.00,1.00,25.77,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Keep me , Lord . Keep me humble , Lord . . . Like Achilles , hubris #pride is my fatal flaw too . Anytime I feel like I 'm getting too #arrogant , I say that little mantra up there . Life aint about me ; it 's never about yourself . Life 's about your focus on others , God 's Church .",51,22.83,11.97,91.95,5.16,8.50,9.80,82.35,49.02,23.53,17.65,13.73,0.00,3.92,0.00,0.00,5.88,0.00,13.73,3.92,13.73,0.00,3.92,13.73,0.00,3.92,0.00,0.00,0.00,5.88,1.96,3.92,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,9.80,1.96,0.00,0.00,1.96,1.96,3.92,3.92,0.00,1.96,1.96,3.92,0.00,3.92,0.00,0.00,15.69,1.96,1.96,9.80,1.96,0.00,0.00,11.76,0.00,9.80,0.00,5.88,3.92,0.00,0.00,0.00,0.00,7.84,1.96,0.00,0.00,0.00,0.00,0.00,0.00,39.22,15.69,9.80,0.00,1.96,0.00,0.00,0.00,0.00,7.84,0.00,3.92
